animal,date,time,latitude,longitude,LocationQuality
pb_06912,3/12/1992,23:41:17,64.387,-169.74,L2
pb_06875,4/3/1991,23:09:29,64.389,-170.082,L1
pb_06881,4/25/1991,2:18:25,64.39,-168.263,L1
pb_06791,1/30/1992,22:03:03,64.4,-167.095,L2
pb_06886,3/12/1991,7:39:53,64.403,-170.376,L3
pb_06875,4/1/1991,1:26:05,64.405,-169.939,LZ
pb_06791,2/2/1992,23:04:21,64.406,-166.948,L1
pb_06899,1/17/1992,2:24:21,64.406,-172.227,L1
pb_06945,3/14/1994,21:13:17,64.406,-170.415,L0
pb_06886,3/14/1991,1:27:13,64.407,-171.216,L2
pb_06951,4/28/1994,21:40:46,64.407,-172.719,L1
pb_06881,3/7/1991,4:34:18,64.408,-169.242,L1
pb_06569,12/13/1986,2:22:15,64.409,-171.766,L1
pb_06895,12/17/1991,2:04:30,64.411,-170.394,L1
pb_06956,12/28/1992,0:20:40,64.413,-168.782,L1
pb_06743,3/29/1988,21:55:34,64.424,-168.111,L1
pb_06806,3/21/1990,22:20:09,64.425,-169.781,L3
pb_06862,3/15/1990,2:35:59,64.426,-171.059,L2
pb_06881,3/5/1991,6:59:52,64.428,-169.155,L2
pb_06953,2/2/1993,23:37:33,64.428,-169.204,L1
pb_06791,12/22/1991,21:13:04,64.434,-168.38,L0
pb_06809,3/22/1990,1:35:50,64.434,-169.812,L1
pb_06791,1/18/1992,21:15:41,64.439,-168.046,L2
pb_06791,2/17/1990,0:46:43,64.443,-166.89,L1
pb_06806,3/18/1990,21:49:27,64.448,-169.709,L2
pb_06732,2/14/1990,1:16:35,64.454,-170.741,L1
pb_06953,5/19/1993,0:10:32,64.461,-174.793,LB
